Timestamp,Email,Overall_Rating,Session1_Rating,Session2_Rating,Venue_Rating,Food_Rating,Attend_Again,Recommend,Feedback
2025-12-15 01:42:00,student0@college.edu,3,4,5,3,3,Maybe,Maybe,"Technical issues in session 1, venue parking difficult."
2025-12-15 07:15:00,student1@college.edu,5,3,3,4,4,Yes,Maybe,"Great speakers, good networking!"
2025-12-15 05:48:00,student2@college.edu,4,3,3,5,2,Yes,No,"Great speakers, good networking!"
2025-12-15 04:30:00,student3@college.edu,3,3,4,5,4,Yes,Yes,"Great speakers, good networking!"
2025-12-15 01:46:00,student4@college.edu,4,2,4,1,3,Yes,Yes,"Great speakers, good networking!"
2025-12-15 01:11:00,student5@college.edu,4,3,4,4,3,Yes,No,"Great speakers, good networking!"
2025-12-15 03:08:00,student6@college.edu,5,3,2,4,3,Yes,Yes,"Technical issues in session 1, venue parking difficult."
2025-12-15 00:20:00,student7@college.edu,3,4,4,5,2,Maybe,Maybe,"Great speakers, good networking!"
2025-12-15 01:42:00,student8@college.edu,3,5,4,5,3,Maybe,Yes,"Great speakers, good networking!"
2025-12-15 02:01:00,student9@college.edu,4,4,4,5,3,Yes,Yes,"Technical issues in session 1, venue parking difficult."
2025-12-15 07:46:00,student10@college.edu,5,3,4,4,1,Maybe,Maybe,"Great speakers, good networking!"
2025-12-15 03:34:00,student11@college.edu,3,1,4,5,3,Yes,No,"Great speakers, good networking!"
2025-12-15 05:30:00,student12@college.edu,2,5,4,2,1,Yes,Maybe,"Technical issues in session 1, venue parking difficult."
2025-12-15 07:38:00,student13@college.edu,5,5,4,3,3,Maybe,Yes,"Great speakers, good networking!"
2025-12-15 01:27:00,student14@college.edu,3,3,4,4,3,Yes,Maybe,"Technical issues in session 1, venue parking difficult."
2025-12-15 06:12:00,student15@college.edu,4,4,5,3,3,Yes,Yes,"Great speakers, good networking!"
2025-12-15 01:39:00,student16@college.edu,5,1,1,5,3,Yes,Yes,"Great speakers, good networking!"
2025-12-15 05:59:00,student17@college.edu,4,2,4,5,1,Yes,Yes,"Technical issues in session 1, venue parking difficult."
2025-12-15 02:31:00,student18@college.edu,4,2,4,4,3,No,Yes,"Great speakers, good networking!"
